Treatments,Time,AC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
AC_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_5,3,0.01,0.017448684,0.01717457,0.017108971,0.01651176,0.016098129,0.01769276,0.017351272,0.016786838,0.017127277,0.016278638,0.017157244,0.01553357,0.016285196,0.016498256,0.016325083,0.016751692,0.016927302,0.017619979,0.01792545,0.017871983,0.016930783,0.016600875,0.01671729,0.016289193,0.017614132,0.01721585,0.01582195,0.016335234,0.01705235,0.017259141,0.01744157,0.017438982,0.016667936,0.016446084,0.01682505,0.016619466,0.015554728,0.016449071,0.016698087,0.017844977,0.017168963,0.017152902,0.017024023,0.016660925,0.01736136,0.016458461,0.016829772,0.016836481,0.016572265,0.015860163,0.015778126,0.017370729,0.01696935,0.018006505,0.016418934,0.01742024,0.016714733,0.015966982,0.016473824,0.017170278,0.015978253,0.01630961,0.016228035,0.016718648,0.016756758,0.016083378,0.017255113,0.018129842,0.016289482,0.016138915,0.016718566,0.016720127,0.017243972,0.016503127,0.01840557,0.017271718,0.01690784,0.017771129,0.01656081,0.016812399,0.017257096,0.016446326,0.016542962,0.016292837,0.016945273,0.017234012,0.016605418,0.016735177,0.016412495,0.016661417,0.016945612,0.016603326,0.01682789,0.017556138,0.016529942,0.01697712,0.017306583,0.017479762,0.01727611,0.016553009
AC_5,6,0.01,0.030407539,0.02946173,0.029235749,0.027236197,0.025890104,0.031257357,0.030067937,0.028148685,0.029298892,0.026474092,0.029403381,0.024110181,0.026494604,0.027191468,0.026625887,0.02803165,0.028621273,0.031006869,0.03208596,0.03189682,0.028633766,0.027527655,0.027913561,0.026508633,0.030982954,0.029602712,0.025012914,0.026659077,0.02904228,0.029751474,0.030381,0.030373007,0.027752597,0.027018992,0.028276132,0.027591133,0.024174854,0.027029628,0.0278527,0.031800255,0.029443286,0.029387774,0.02894795,0.027729621,0.03010462,0.027060725,0.028293287,0.028317941,0.027436687,0.025131151,0.024876202,0.03013302,0.028763624,0.03237592,0.026932983,0.030306647,0.027908944,0.02547203,0.02711117,0.029446382,0.025507752,0.026575387,0.026309451,0.027920397,0.028050141,0.025843404,0.029735226,0.032822415,0.026512656,0.02602133,0.027919428,0.027927406,0.029699136,0.027207468,0.033823106,0.029791614,0.028557047,0.031538498,0.027398992,0.028234,0.029744396,0.027019864,0.02733856,0.026520398,0.028679444,0.029661264,0.027545378,0.027977409,0.02690892,0.027729817,0.02868158,0.02753776,0.028287077,0.030783143,0.027295185,0.028787097,0.029914327,0.03051512,0.029809266,0.027371923
AC_5,9,0.01,0.052875582,0.050437104,0.04985346,0.044851378,0.041574266,0.05507893,0.051989064,0.0471136,0.050017074,0.042988326,0.05029178,0.037376687,0.04303554,0.04474029,0.04336014,0.046822835,0.048302557,0.054442838,0.05728528,0.056788243,0.04833694,0.04556116,0.046516355,0.04307329,0.05436683,0.05079648,0.039491843,0.043441467,0.049358856,0.051178694,0.052799664,0.052782737,0.046127617,0.04431272,0.047430556,0.04572493,0.03752375,0.044341754,0.04637596,0.056530107,0.050393093,0.050248995,0.049126375,0.04607189,0.05209061,0.044419065,0.047478326,0.047548037,0.045348972,0.03976318,0.039173968,0.05214856,0.04866316,0.058059137,0.04411231,0.052605588,0.046518795,0.040578496,0.044542987,0.05039537,0.040662978,0.043236844,0.042587176,0.046541687,0.04687454,0.041464206,0.05112769,0.059269834,0.043093413,0.04188999,0.046536546,0.046566892,0.05104307,0.04477948,0.061975967,0.05126985,0.04814582,0.055837482,0.04525647,0.04732609,0.051159825,0.044315282,0.04510193,0.04310145,0.048440117,0.050932392,0.045614485,0.046690613,0.044043086,0.04606715,0.048449237,0.04559299,0.047463015,0.05385761,0.04499343,0.048711896,0.051595453,0.053153094,0.051324844,0.045185056
AC_5,12,0.01,0.09160049,0.086049154,0.08471074,0.073658,0.066596106,0.096617125,0.08955004,0.07861432,0.08508768,0.06962932,0.08573373,0.05783409,0.0697228,0.07341306,0.070437655,0.0779775,0.08125969,0.09522097,0.10181058,0.10066766,0.08134575,0.075176485,0.07726339,0.06981523,0.0949984,0.086856216,0.06222552,0.07061442,0.0835911,0.08772336,0.09140201,0.09137655,0.076446146,0.07247181,0.0793085,0.07555604,0.058127612,0.07254404,0.07699029,0.100057244,0.08596012,0.0856273,0.08309279,0.076328024,0.08980462,0.07271495,0.07942991,0.07961015,0.07475317,0.06276946,0.06157529,0.08988367,0.082068086,0.103629805,0.072069734,0.09095391,0.07731366,0.064500675,0.07298431,0.0859465,0.06467697,0.070170954,0.06876297,0.07734596,0.07810968,0.06636879,0.08757654,0.106537074,0.069890276,0.067268424,0.077325895,0.077426344,0.087412104,0.073497586,0.11296754,0.087889574,0.08092766,0.098442025,0.0745531,0.07908091,0.087678716,0.07247867,0.07419848,0.06987442,0.08153612,0.08711524,0.07532347,0.077695966,0.07188772,0.076300986,0.08156893,0.07526799,0.079396985,0.09387016,0.0739572,0.08214205,0.08866269,0.092229664,0.088047296,0.074382655
AC_5,24,0.01,0.72992694,0.65383774,0.6323133,0.49483186,0.40980738,0.78776026,0.697582,0.5556602,0.6387241,0.44647503,0.65176517,0.31596068,0.4465431,0.4914091,0.45717457,0.54839146,0.5906422,0.78272027,0.8694711,0.85753495,0.59321636,0.509217,0.5337371,0.44911596,0.77079743,0.66378564,0.36332038,0.45948866,0.6162249,0.6755999,0.7227818,0.72487104,0.52898216,0.47826073,0.5633965,0.51687574,0.3181049,0.4803949,0.5355598,0.84772116,0.654409,0.64870906,0.61336124,0.5281423,0.70512486,0.482896,0.5673519,0.5735822,0.50971586,0.3665581,0.35775626,0.6968994,0.60177,0.8952232,0.4778002,0.71602535,0.5409222,0.38767144,0.48618537,0.651066,0.38942152,0.45385468,0.4355306,0.53866315,0.5527627,0.40798953,0.66838056,0.94628984,0.45419168,0.41755953,0.5371179,0.5433428,0.67077917,0.49233076,1.0332547,0.6709664,0.5889873,0.82507473,0.5075216,0.5610573,0.674734,0.4785289,0.5007179,0.449637,0.5894744,0.65911543,0.51533294,0.54631805,0.47123215,0.5253674,0.59184396,0.5134217,0.5670531,0.7637449,0.49708608,0.59720373,0.6870911,0.73726845,0.67867136,0.50336343
AC_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_6,3,0.053190666666666700,0.023114037,0.025075061,0.022587663,0.023683246,0.023923542,0.023861844,0.023600282,0.023847315,0.021647658,0.022666214,0.02402335,0.02474836,0.02421739,0.024102729,0.024171907,0.024556784,0.025903601,0.024940224,0.025039617,0.022341723,0.024170926,0.024339268,0.025383601,0.023561865,0.022146769,0.024039682,0.024088232,0.024089545,0.023996534,0.027583793,0.025113076,0.023076233,0.02399846,0.023754483,0.024842974,0.022800455,0.025012113,0.021466117,0.022709304,0.023404282,0.022026282,0.023870612,0.022735493,0.023602705,0.023311257,0.023489414,0.021011828,0.02546273,0.023568967,0.024983337,0.021058887,0.024482438,0.023287902,0.024937868,0.025001667,0.022772795,0.024060639,0.02338762,0.024362229,0.023218837,0.023489172,0.024846094,0.026176374,0.024203056,0.02926698,0.02464817,0.024659682,0.022959856,0.026653338,0.023621757,0.0247892,0.023198746,0.025446836,0.023860844,0.024159206,0.024637215,0.02461354,0.024925416,0.023780856,0.02712963,0.026125384,0.026303265,0.025227271,0.023548486,0.023912929,0.025414811,0.02349787,0.02248901,0.02568438,0.02327861,0.024607316,0.020381346,0.022715796,0.021317627,0.0230473,0.024844276,0.023370832,0.02347489,0.024643755,0.023143692
AC_6,6,0.06734066666666670,0.05323607,0.06257565,0.050847646,0.055867873,0.056997206,0.05670739,0.055480625,0.056646295,0.04672462,0.051192597,0.057468355,0.060970347,0.05839812,0.057857312,0.058195535,0.06004644,0.06673328,0.061913513,0.062401347,0.049742874,0.058166254,0.05897986,0.06412161,0.05530445,0.048891682,0.057553243,0.057785302,0.05777743,0.05734118,0.07561921,0.06275999,0.053048406,0.05735294,0.056197736,0.061428603,0.05180148,0.062279977,0.04595,0.051395144,0.05457185,0.048364647,0.056752894,0.05150488,0.05549305,0.05413266,0.05495605,0.044031743,0.064506575,0.05533705,0.06211945,0.044228084,0.05967234,0.054031212,0.061890572,0.062223792,0.051678117,0.057650715,0.05448827,0.059096806,0.05371625,0.05496712,0.06145267,0.06815213,0.058335394,0.085017234,0.06048912,0.060547937,0.05252227,0.07062387,0.055578392,0.061175656,0.05361239,0.06442538,0.056707412,0.058099713,0.060432807,0.060323942,0.061829362,0.056327157,0.073147275,0.06788104,0.068799876,0.063339725,0.05523335,0.05694503,0.06427517,0.054999083,0.050403774,0.06564046,0.053984497,0.060276344,0.041440327,0.051421348,0.04531739,0.052918073,0.061435748,0.054407522,0.05488924,0.06045495,0.053371575
AC_6,9,0.15255766666666700,0.12162081,0.1543283,0.11360211,0.13057701,0.13447651,0.13347982,0.12924848,0.13331789,0.10021845,0.11470035,0.13610569,0.14855312,0.1393945,0.13754168,0.13878432,0.14531557,0.16954616,0.15195858,0.15370317,0.10990871,0.13851398,0.14142351,0.16003345,0.12866293,0.10718296,0.13645142,0.13726963,0.1371463,0.13566194,0.20388597,0.15496755,0.12089525,0.13572069,0.13168642,0.15016355,0.11675183,0.15337051,0.0977738,0.11542675,0.12615235,0.1054788,0.13366568,0.11574239,0.1292983,0.12459714,0.1273962,0.091759756,0.16135655,0.12877147,0.1526556,0.09236685,0.14388956,0.12429248,0.15179583,0.15313216,0.11635008,0.13677679,0.12582628,0.14188117,0.12324279,0.12751277,0.15031247,0.17500086,0.13921376,0.24175385,0.14688465,0.14711523,0.119152784,0.18428548,0.12956816,0.14932857,0.12281655,0.16104852,0.13351195,0.1382079,0.14666219,0.14631855,0.15157358,0.13217126,0.19400616,0.1739183,0.17737651,0.15716666,0.1283621,0.13428047,0.16057546,0.12756737,0.11211767,0.16565569,0.12410901,0.14602678,0.08385092,0.11549589,0.09577074,0.1204663,0.15019412,0.12553063,0.12717278,0.14667271,0.12207733
AC_6,12,0.515524,0.27284583,0.37001362,0.24963634,0.29881504,0.31023645,0.3073523,0.29494628,0.30716926,0.21212165,0.2525279,0.31498417,0.35257408,0.3249393,0.31969127,0.32372686,0.34319702,0.41632274,0.3629699,0.36815923,0.23886839,0.32192624,0.3308664,0.38789886,0.2933427,0.23146516,0.31629804,0.31876594,0.3178365,0.31366962,0.5265655,0.37177882,0.27023554,0.31394693,0.30190673,0.35722727,0.25852826,0.3678109,0.2054588,0.25488952,0.28598893,0.22671697,0.3080649,0.2555253,0.2951312,0.28113094,0.28922674,0.18905048,0.391394,0.29364154,0.3647984,0.19067985,0.33833644,0.2804699,0.36198193,0.3668618,0.2574296,0.3171718,0.28480867,0.33250058,0.27753103,0.29001346,0.35807076,0.43420637,0.32463714,0.649034,0.34786746,0.3486889,0.2653634,0.4627171,0.2957893,0.35516083,0.27588144,0.39038023,0.30763492,0.3205905,0.34706533,0.3463023,0.3612987,0.3035486,0.49348137,0.43040842,0.4411865,0.37905583,0.292137,0.3095724,0.38942942,0.28985965,0.24531633,0.40538898,0.27979884,0.34468064,0.16803038,0.254991,0.19993022,0.2690565,0.35735676,0.28383175,0.28860104,0.3466781,0.27415648
