Treatments,Time,AC_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
AC_6,24,3.9822286666666700,3.097991,3.7385273,2.8279912,3.2761374,3.3496032,3.336343,3.2614093,3.4121008,2.408768,2.804333,3.3717232,3.662736,3.4739628,3.488489,3.5918195,3.6740217,3.9152253,3.7371454,3.7498865,2.6437027,3.3735633,3.488075,3.9124439,3.2706985,2.6245546,3.4353511,3.4596562,3.3483317,3.364359,4.46743,3.723254,2.955564,3.3813548,3.2650323,3.64799,2.8896883,3.8626783,2.339778,2.8971217,3.2034678,2.578548,3.3825405,2.8378687,3.2626553,3.0906608,3.1466305,2.108542,3.8498292,3.2699623,3.701946,2.1279895,3.5532887,3.1346107,3.6500952,3.7953448,2.8935885,3.4197268,3.1464007,3.541978,3.1395874,3.2527807,3.7370205,4.0901155,3.5222597,4.6833596,3.7036178,3.7337706,2.9419174,4.1328287,3.250524,3.7228441,3.0270386,3.824921,3.3857179,3.2879424,3.6674585,3.7102377,3.644825,3.3219423,4.227192,4.0242414,4.0737596,3.8462994,3.184688,3.329057,3.9047828,3.183034,2.7584848,4.022232,3.1020982,3.5653405,1.823585,2.8748538,2.2551298,2.9599133,3.663804,3.1108108,3.143611,3.586097,3.10228
AC_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_7,3,0.042061666666666700,0.064523384,0.06521457,0.064681455,0.06332985,0.06490485,0.06644506,0.06305689,0.06562919,0.06701861,0.06523483,0.06592532,0.06523766,0.0627443,0.06527219,0.06266927,0.0657604,0.06309755,0.06453897,0.064242944,0.061414745,0.06496779,0.062331464,0.06371288,0.06424,0.06099084,0.0650847,0.06391395,0.065526396,0.06777688,0.0632446,0.064298145,0.06422169,0.06271053,0.06452141,0.0658884,0.061531883,0.062202804,0.06426006,0.064067855,0.065705635,0.06264431,0.06405979,0.064141504,0.067411795,0.062115747,0.06398343,0.06507189,0.061738443,0.064785205,0.06529375,0.06443781,0.06563184,0.06435093,0.06546617,0.06293354,0.063263975,0.063362144,0.064756244,0.06442445,0.062239267,0.06504354,0.063291855,0.06725808,0.06489735,0.06285575,0.06258116,0.06181962,0.0626283,0.06366202,0.06334623,0.06340008,0.063900284,0.06303715,0.06276353,0.06489767,0.061323687,0.06214155,0.06323391,0.061920635,0.060857743,0.061883353,0.06613073,0.064955495,0.064337604,0.065241985,0.065287285,0.06152214,0.06557964,0.06612472,0.06662892,0.06440897,0.064248994,0.063976586,0.06444462,0.065536134,0.06583392,0.06338835,0.06040059,0.06262321,0.06441115
AC_7,6,0.20756700000000000,0.39380813,0.40247074,0.3953955,0.3801534,0.39782348,0.41633376,0.37733373,0.4061129,0.4226613,0.4012044,0.40940827,0.40189683,0.37348762,0.40201783,0.37238508,0.40766388,0.3780948,0.39369798,0.39032546,0.35908717,0.3986026,0.36875167,0.3845552,0.39062917,0.3532729,0.4002403,0.38706282,0.40506205,0.43090597,0.37971473,0.3910094,0.3899781,0.37283266,0.39394155,0.40935734,0.35987732,0.36740324,0.39121667,0.38818598,0.4075402,0.37221572,0.3885233,0.38932776,0.42699867,0.3668122,0.3874475,0.39993477,0.36217016,0.39665735,0.40245593,0.39291015,0.4066293,0.39071476,0.4046501,0.3755837,0.37967572,0.38072518,0.39663678,0.39241132,0.36823067,0.40054816,0.3797799,0.4257423,0.39788353,0.37470698,0.37160185,0.36303955,0.37193498,0.3839001,0.38051078,0.3805183,0.38666412,0.37736955,0.37398818,0.3980345,0.3578672,0.3671706,0.37876666,0.36381117,0.35285875,0.36344713,0.41255003,0.39907363,0.39194345,0.40200448,0.40198874,0.35982582,0.40558055,0.4120629,0.41821694,0.39241514,0.39043918,0.3871894,0.3926706,0.40528986,0.40859938,0.38039762,0.34701756,0.3720872,0.3930487
AC_7,9,1.5320846666666700,1.8122317,1.8710272,1.8149847,1.7426746,1.8237283,1.9285841,1.7344805,1.8626462,1.9494865,1.8309485,1.8752948,1.8489453,1.7077073,1.8432562,1.6958647,1.8707547,1.7449113,1.8049321,1.7887197,1.6438481,1.8288426,1.6810871,1.7663593,1.7978235,1.5886073,1.8434325,1.7834108,1.8603153,1.9725988,1.7524782,1.7934053,1.7848201,1.6979948,1.8161505,1.8834174,1.6363553,1.6764631,1.8091115,1.7746215,1.881432,1.697759,1.7863842,1.7872527,1.9633578,1.6817489,1.7762402,1.838114,1.6480776,1.8229594,1.8497568,1.8094885,1.8763252,1.7718946,1.8650563,1.7173946,1.7460793,1.7501351,1.829536,1.7993422,1.6897835,1.8627279,1.7419752,1.969606,1.8274693,1.7129953,1.6967918,1.6520604,1.6941117,1.7610385,1.7482404,1.7347704,1.7758179,1.7405645,1.7166287,1.8314689,1.6323872,1.6851852,1.7289368,1.6481774,1.6094888,1.6470926,1.9073908,1.8449001,1.808856,1.8509747,1.8386468,1.6373456,1.8608625,1.8954303,1.9310795,1.8033938,1.7903837,1.7709789,1.8009735,1.8643764,1.8769313,1.7345743,1.5608346,1.6994127,1.8201396
AC_7,12,4.4561676666666700,4.0563793,4.198736,4.034049,3.9686184,4.0269303,4.2129917,3.9914358,4.063752,4.1854334,3.9913368,4.0594106,4.0790105,3.9208016,4.041792,3.8657668,4.0737925,4.0344377,4.0107446,3.997003,3.8955655,4.0398498,3.8709793,4.008912,4.0454826,3.6786308,4.0875154,4.0444455,4.0690513,4.1368933,4.045321,4.0102344,3.984108,3.8711755,4.0726395,4.105697,3.8174238,3.8813708,4.104218,3.9586608,4.1350055,3.8872013,4.0298343,4.010845,4.1680875,3.9291766,3.9912236,4.059617,3.8312373,4.0545588,4.071568,4.0591955,4.1345916,3.8859158,4.110901,3.9249198,3.9993966,4.0003314,4.088663,4.011489,3.9418278,4.195235,3.9722695,4.2241335,4.0501986,3.9206836,3.8978157,3.8382504,3.8712873,3.987535,3.993031,3.9073563,4.0055833,4.0309443,3.9656706,4.069616,3.84441,3.9425676,3.9169405,3.7903216,3.8332155,3.787593,4.172276,4.1233315,4.08063,4.091006,4.016877,3.8255346,4.0633817,4.112382,4.178563,4.035083,4.006083,3.966033,4.010723,4.0926957,4.085506,3.9111564,3.6616616,3.8995214,4.119518
AC_7,24,5.097042666666670,5.259167,5.421813,5.207176,5.2270007,5.1702313,5.359745,5.300744,5.17627,5.2548966,5.087683,5.1359844,5.2219014,5.2141,5.155484,5.088192,5.1759667,5.348368,5.164956,5.179342,5.342127,5.190231,5.156331,5.277351,5.260682,4.966795,5.2566686,5.282078,5.1711144,5.1250677,5.3781953,5.2028384,5.1706767,5.1094775,5.2667503,5.2064486,5.1574693,5.212767,5.3728065,5.1108227,5.262792,5.150981,5.262175,5.203468,5.197692,5.2878723,5.1917815,5.1975765,5.150569,5.2455125,5.2091894,5.259822,5.303098,4.982838,5.2616568,5.1855984,5.269501,5.2733417,5.275943,5.190899,5.2871494,5.4280324,5.2293134,5.2748404,5.2194743,5.1913624,5.179479,5.177781,5.1260443,5.222994,5.258629,5.105124,5.2113767,5.375626,5.2914486,5.246925,5.2168794,5.3104796,5.1461644,5.071904,5.2695413,5.043366,5.2978477,5.3201733,5.309603,5.2518477,5.119619,5.173273,5.17034,5.195148,5.266595,5.227073,5.2016115,5.1539016,5.1689095,5.2299447,5.1783814,5.1221337,4.9949965,5.165891,5.352817
AC_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
AC_8,3,0.04969300000000000,0.08750068,0.083431885,0.08224625,0.08712719,0.08612496,0.08663565,0.08975948,0.086167775,0.08390801,0.0870589,0.08710362,0.08554806,0.086823,0.084411085,0.08939303,0.08559086,0.08560279,0.086408526,0.08833881,0.08488902,0.08324365,0.08605392,0.090445876,0.083475165,0.0861059,0.08681159,0.0863862,0.08533887,0.08422221,0.08706621,0.085391,0.08638746,0.08623603,0.08200657,0.084647186,0.08777958,0.085951984,0.08428932,0.08496667,0.08682055,0.08407911,0.08594204,0.08725575,0.082736604,0.08450924,0.08535798,0.0878687,0.08621386,0.08830523,0.08722569,0.086201824,0.086839594,0.08756408,0.09153626,0.08461182,0.08512,0.08345957,0.08716504,0.08742932,0.086538956,0.08796271,0.085079454,0.07953403,0.088264115,0.08425392,0.083487004,0.0844932,0.08456887,0.085949466,0.08898202,0.08693635,0.0860093,0.09096939,0.08754012,0.087270364,0.086721405,0.084973834,0.08810282,0.08523893,0.08605716,0.08710558,0.08382707,0.08775052,0.08470513,0.085301496,0.086867586,0.08883472,0.089215815,0.08530678,0.084597394,0.087531134,0.08767566,0.08601288,0.08823153,0.09070079,0.08535236,0.08879633,0.08673125,0.086224146,0.08608135
AC_8,6,0.33809466666666700,0.68516976,0.62787586,0.61369586,0.6840066,0.6689833,0.6738623,0.71837926,0.6705322,0.63600206,0.6797552,0.68050045,0.65822935,0.67554224,0.64362174,0.71349806,0.65948147,0.65815127,0.67283046,0.69879043,0.6506869,0.62535137,0.6679637,0.72719556,0.6316736,0.66840136,0.6761899,0.6699514,0.65434635,0.64149016,0.6801011,0.6567275,0.67409605,0.66739714,0.6090456,0.64706194,0.6892949,0.6655603,0.6444216,0.65360695,0.6778886,0.63771945,0.66645086,0.68286246,0.6214883,0.64646965,0.6588058,0.69382375,0.66981924,0.69929934,0.68507814,0.6676288,0.67959446,0.68795574,0.7446979,0.6450377,0.6524809,0.6289173,0.68210167,0.68523294,0.6745383,0.6907673,0.6528643,0.5782025,0.6965863,0.6402356,0.6302657,0.64418316,0.64764297,0.66438323,0.7081305,0.67952377,0.66684943,0.7387462,0.68792206,0.68218863,0.67696345,0.65286404,0.69379663,0.6541122,0.66544867,0.68205243,0.6348921,0.69300306,0.6468836,0.6555044,0.67908776,0.70317477,0.71044374,0.6569775,0.6471869,0.6884191,0.68733096,0.6656878,0.697227,0.73198706,0.65641767,0.70727456,0.6747849,0.6685319,0.66737336
AC_8,9,2.230990333333330,2.9635253,2.7367916,2.7220924,3.041614,2.9676695,2.93966,3.1008437,2.9928415,2.7995865,2.9596941,2.9647732,2.873593,2.9271111,2.8423545,3.0916996,2.891084,2.8571,2.9791758,3.0462134,2.8778489,2.7281337,2.9631917,3.1115773,2.8161185,2.9591603,2.9453564,2.9171486,2.8403368,2.8440032,2.965448,2.8816807,3.0158129,2.8989983,2.6753352,2.8587387,2.981974,2.9348748,2.8967655,2.927086,2.9828033,2.793149,2.9589577,2.9778547,2.7753341,2.883597,2.9411986,3.0627208,2.962185,3.0677302,3.0387032,2.9138293,3.0180557,3.0105236,3.2041562,2.8205469,2.8563383,2.753895,2.9851356,2.9846532,2.9825842,2.9655743,2.8765743,2.6006854,3.0163875,2.8048387,2.7786758,2.8327098,2.8951874,2.9073987,3.0829675,2.988286,2.9492986,3.2281857,3.0169413,2.958072,2.988727,2.9065921,2.9965937,2.861888,2.9025726,3.0009596,2.7953713,3.077418,2.8384507,2.8774939,2.9978724,3.0099137,3.070658,2.91133,2.8759153,3.0308294,2.965378,2.9204757,3.04016,3.1495159,2.885181,3.115268,2.9345095,2.9288297,2.941406
AC_8,12,4.957929666666670,4.7376556,4.537254,4.6306863,4.989972,4.8935995,4.763075,4.874621,4.9591985,4.6636834,4.7716584,4.781191,4.6937175,4.708354,4.731594,4.889768,4.7370467,4.644781,4.893813,4.8737774,4.777119,4.532778,4.8879833,4.840891,4.7630677,4.872334,4.7605996,4.7261925,4.625979,4.757795,4.785516,4.7334685,4.998948,4.6927285,4.518576,4.7502813,4.7597766,4.82327,4.9032702,4.912208,4.8606825,4.626386,4.889821,4.8021927,4.7295423,4.8379703,4.906612,4.9652004,4.8680696,4.9338713,4.9688835,4.737243,4.9551263,4.8567996,4.9729004,4.648301,4.692665,4.5837626,4.830152,4.801456,4.8884244,4.6986895,4.7522397,4.5955024,4.8038135,4.6405735,4.6522207,4.693037,4.866087,4.7449813,4.9080377,4.861331,4.854715,5.0853915,4.878801,4.747629,4.8858986,4.850518,4.7675624,4.695216,4.720638,4.8801622,4.661958,5.0203733,4.687502,4.7311473,4.896019,4.729185,4.850996,4.826369,4.805669,4.9161234,4.7267423,4.7734456,4.869396,4.9139285,4.748432,5.009853,4.737031,4.7751503,4.825596
AC_8,24,5.086549333333330,5.1302176,4.9808316,5.127469,5.442944,5.3471594,5.184461,5.248618,5.424978,5.119217,5.1820307,5.192121,5.1192327,5.109748,5.1950645,5.2774754,5.171014,5.062661,5.338297,5.27948,5.2339315,4.978112,5.341623,5.2006435,5.2563796,5.322536,5.1780634,5.1415644,5.045868,5.2315454,5.1985016,5.171763,5.4683857,5.105038,4.995569,5.207957,5.152776,5.2725167,5.404455,5.40128,5.293662,5.073267,5.3477507,5.2158966,5.230306,5.318644,5.3848453,5.3933864,5.3159013,5.3477798,5.410265,5.1609216,5.40685,5.2726946,5.334727,5.0916266,5.1303535,5.0394473,5.2503047,5.2089105,5.3316984,5.0783978,5.199238,5.162474,5.1976657,5.0870056,5.1205688,5.1420217,5.3583045,5.1733513,5.308441,5.2934737,5.302402,5.473063,5.301331,5.1512656,5.322891,5.323004,5.159013,5.1320014,5.143076,5.310975,5.125453,5.468629,5.133697,5.17044,5.3338027,5.093826,5.233759,5.28705,5.277352,5.347328,5.1177144,5.2034726,5.276377,5.282137,5.1930017,5.4306736,5.146423,5.2031946,5.268616