Treatments,Time,BV_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BV_5,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_5,3,0.01,0.010123244,0.009707406,0.010899715,0.020497788,0.010998111,0.017530577,0.0129225,0.0040393816,0.009925193,0.010006491,0.014578225,0.012468294,0.013647586,0.0109431,0.009050938,0.010701069,0.011587449,0.018988537,0.003748074,0.010935842,0.026581531,0.010800325,0.008869697,0.011057118,0.011310865,0.009901851,0.020591363,0.01098602,0.014438049,0.01139187,0.009979974,0.009259076,0.017970186,0.0144214695,0.033400383,0.009916875,0.013468383,0.011955073,0.010277899,0.010283484,0.011533747,0.01011551,0.007969283,0.0102416705,0.009178679,0.011825822,0.008509957,0.010669379,0.013253688,0.010880153,0.013660643,0.01033047,0.01099275,0.0068389764,0.021581335,0.010283618,0.017397895,0.019650841,0.017277516,0.009914556,0.01222403,0.013539994,0.014472833,0.010374607,0.013063641,0.019365372,0.010098906,0.009576544,0.011034465,0.011986078,0.01005223,0.010209022,0.011154759,0.012537683,0.008930082,0.009878298,0.010647597,0.010420252,0.0038288704,0.0132843,0.009372549,0.012688077,0.008996667,0.0129695665,0.0068804035,0.010697502,0.013639611,0.011910829,0.011069541,0.012104659,0.0091574425,0.014319149,0.009496791,0.011523374,0.008978595,0.009058902,0.012409033,0.010271669,0.0067723794,0.009571494
BV_5,6,0.01,0.010248377,0.0094235875,0.011880538,0.04158451,0.012094205,0.030561587,0.016680915,0.00162288,0.0098509425,0.010012317,0.021172557,0.015538645,0.018599546,0.011975198,0.008192177,0.0114507815,0.013425735,0.035625294,0.0013969444,0.0119582815,0.068045415,0.011666334,0.007865934,0.012223667,0.012792978,0.009808136,0.041653972,0.012067005,0.020783594,0.012974613,0.009961437,0.008572463,0.032078378,0.020759182,0.10519861,0.00983536,0.018104682,0.014286077,0.010562891,0.010574523,0.013296104,0.010232338,0.0063485457,0.010489362,0.00842432,0.013980418,0.0072405827,0.011385508,0.017544078,0.0118362745,0.018638875,0.010671923,0.012082804,0.004670583,0.045884702,0.01057564,0.030168656,0.03815398,0.029654324,0.009830915,0.014937911,0.018304944,0.020908866,0.0107643865,0.017049203,0.037106816,0.010199507,0.009171265,0.012176019,0.014359516,0.01010448,0.01042341,0.012442255,0.015713487,0.00797449,0.009758105,0.011338548,0.010858175,0.0014591761,0.017632056,0.008784134,0.016083669,0.008093521,0.016797882,0.0047266455,0.011443748,0.018570343,0.014180456,0.01225372,0.014643154,0.008386161,0.020452276,0.009018807,0.013275232,0.0080601415,0.008207688,0.015383638,0.010551731,0.0045793434,0.009161759
BV_5,9,0.01,0.010375431,0.009148269,0.012949805,0.08265502,0.013297569,0.052771658,0.021502309,0.0006506004,0.009777247,0.010017478,0.030583845,0.019353943,0.02530007,0.013104668,0.007415107,0.012252443,0.015554132,0.06539116,0.00051956583,0.0130751375,0.15940642,0.012603684,0.0069748107,0.013510394,0.01446855,0.009718718,0.0814053,0.013251629,0.02979081,0.01477356,0.009944388,0.007936259,0.056596797,0.029802445,0.28174496,0.009755426,0.02427422,0.017062638,0.010855126,0.010873298,0.015318971,0.010350498,0.0050558806,0.010743253,0.0077315564,0.016521148,0.006159583,0.012151904,0.023185072,0.0128746405,0.025389757,0.011024729,0.013279438,0.003186636,0.0946103,0.010876343,0.052015465,0.07241813,0.050332244,0.009749063,0.018247219,0.024695653,0.030129394,0.011170052,0.022222457,0.0697116,0.0103018135,0.008783354,0.013435751,0.017192818,0.010156738,0.010643339,0.013877636,0.019684613,0.0071210302,0.009639391,0.012075942,0.011314518,0.00055509957,0.023376008,0.008232367,0.020363916,0.007280657,0.021717785,0.0032436019,0.012242152,0.025221735,0.01687359,0.013564879,0.01770074,0.007680101,0.029108303,0.0085647805,0.015288675,0.007234545,0.007437551,0.01904874,0.010840502,0.003093177,0.008769919
BV_5,12,0.01,0.010504446,0.008881184,0.01411552,0.15802525,0.014618274,0.0896652,0.027667558,0.00026059174,0.009704083,0.010021971,0.04383976,0.024088774,0.03432602,0.014340716,0.006711914,0.013109558,0.018017832,0.11555044,0.0001930921,0.014294895,0.31428608,0.013618546,0.0061838985,0.0149290655,0.016362611,0.009633468,0.14949082,0.014549285,0.04244539,0.016817145,0.009928825,0.007346847,0.097872585,0.04262271,0.5494311,0.009677034,0.03243484,0.020366054,0.011154755,0.011180024,0.01763804,0.010470002,0.0040254476,0.011003502,0.0070954207,0.019514708,0.005239259,0.012972414,0.03057347,0.014002004,0.034509312,0.011389266,0.014592751,0.0021727318,0.18392412,0.011186004,0.08880899,0.13196166,0.08387226,0.009668944,0.02227899,0.03322548,0.043256693,0.011592338,0.028917762,0.12642305,0.010405874,0.008412074,0.014825924,0.020570645,0.010209001,0.010868991,0.015477722,0.024644885,0.006358821,0.009522143,0.012863103,0.0117900465,0.00021102845,0.030944284,0.007715009,0.025744842,0.0065491158,0.028014962,0.0022242442,0.013096385,0.03414271,0.020065513,0.015016692,0.02137739,0.007033677,0.041220337,0.008133523,0.01760128,0.0064926287,0.006740582,0.02355269,0.011138304,0.0020878224,0.008395172
BV_5,24,0.018037333333333300,0.0110409,0.007890158,0.019929925,0.7937415,0.021307664,0.49250463,0.07361094,6.6984303E-06,0.0094168605,0.01003325,0.15888645,0.057159513,0.110864,0.02056659,0.0045066155,0.017171087,0.0323915,0.50013804,3.6756096E-06,0.020398734,0.688607,0.018598763,0.0038173462,0.02219476,0.02674381,0.009331808,0.53281564,0.02108421,0.15521929,0.028133173,0.009881193,0.0053929044,0.5241762,0.16471374,0.8689052,0.009378296,0.09729198,0.040968735,0.012430087,0.012489721,0.03073086,0.0109617645,0.0016151099,0.012111534,0.0050308635,0.037744936,0.0027397808,0.016884051,0.08897929,0.019554405,0.11298906,0.012972851,0.021247655,0.00046803226,0.7627021,0.012520176,0.56134474,0.58794904,0.41676036,0.009365086,0.04914764,0.10353356,0.17012246,0.013463936,0.08060904,0.6052095,0.01084047,0.0070790015,0.021982867,0.04172873,0.01041803,0.011832769,0.023930497,0.059984233,0.0040426473,0.009067431,0.016585995,0.013900908,4.399492E-06,0.092454486,0.0059491964,0.06420633,0.0042861076,0.07468396,0.00048999256,0.017154157,0.10789629,0.039767984,0.022559367,0.0448776,0.004949459,0.1499885,0.0066144024,0.03077335,0.0042070113,0.0045524747,0.0538372,0.012426867,0.0004318384,0.007052187
BV_6,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_6,3,0.047785333333333300,0.0056360974,0.0051627313,0.0056128777,0.005077199,0.0043163756,0.006143608,0.005924466,0.006000486,0.0053934013,0.005260277,0.006076168,0.006002081,0.005664764,0.0048207818,0.0053273714,0.0067675803,0.0055962983,0.005732381,0.006001527,0.005750364,0.005070657,0.005437465,0.004705503,0.0044479,0.005494492,0.005188836,0.004189623,0.006236141,0.0060201157,0.005398115,0.0057132584,0.0058124117,0.005451958,0.0061872066,0.0054745637,0.004688589,0.0058936435,0.00569938,0.004537383,0.004384238,0.0051065567,0.0062007774,0.005007403,0.0049465075,0.0055385735,0.0047236453,0.00627637,0.0057514985,0.0051471004,0.004658638,0.0055435663,0.0048538134,0.005307154,0.005124242,0.006306288,0.0058268933,0.0052152663,0.0063543124,0.005604685,0.0057567144,0.005878765,0.004507187,0.0053234566,0.0051692678,0.0050372807,0.0052013425,0.005033191,0.004808315,0.0060572885,0.0054989285,0.0045425235,0.005982031,0.0049330853,0.0061740563,0.0050285007,0.0060997424,0.0051810504,0.005866829,0.005912181,0.0061589773,0.0048273588,0.004710014,0.00535294,0.005028341,0.005493318,0.005628996,0.0049181157,0.0048095724,0.0057422053,0.0045553236,0.005662227,0.005527453,0.005671507,0.005486886,0.0059727603,0.0052368366,0.0059735784,0.0056106118,0.005746007,0.0053820303
BV_6,6,0.059391,0.0031736593,0.0026623907,0.0031472608,0.002575052,0.0018610638,0.0037710185,0.0035066467,0.003597296,0.002906124,0.002764127,0.0036884288,0.0035990174,0.0032063709,0.0023213914,0.002835129,0.0045768498,0.0031289177,0.003283095,0.0035984572,0.0033035208,0.0025685756,0.002953616,0.0022119023,0.0019762064,0.00301555,0.002689734,0.001753342,0.003885115,0.0036210576,0.0029108687,0.0032606767,0.003375166,0.0029696212,0.0038240897,0.0029938458,0.0021956123,0.0034700017,0.0032448282,0.0020565996,0.0019199457,0.0026050736,0.0038412467,0.002505036,0.0024443297,0.003064453,0.0022290424,0.0039357794,0.00330497,0.0026466656,0.002167963,0.0030700692,0.0023538023,0.0028140082,0.0026232924,0.0039734547,0.0033925378,0.0027170614,0.0040348326,0.0031380316,0.0033107756,0.0034526242,0.0020291996,0.0028311035,0.0026692979,0.0025349883,0.0027024343,0.002530375,0.0023097873,0.0036658973,0.0030204505,0.0020613158,0.003575254,0.0024308963,0.003808535,0.0025261217,0.0037169394,0.0026817557,0.0034383854,0.0034921858,0.0037896815,0.0023276727,0.0022158967,0.0028622586,0.0025257696,0.0030146604,0.0031658038,0.0024158778,0.0023110548,0.0032941333,0.002072526,0.003203107,0.0030521979,0.0032134766,0.003007491,0.003564005,0.0027398195,0.0035651582,0.0031445874,0.003298262,0.002893777
BV_6,9,0.06845333333333330,0.0017861557,0.0013721897,0.0017637304,0.0013053071,0.0008020382,0.0023134295,0.0020744153,0.0021554034,0.001565106,0.0014516676,0.002237691,0.0021568253,0.001814036,0.0011172339,0.0015079573,0.00309383,0.0017484672,0.0018793588,0.0021563887,0.0018968093,0.0013004625,0.0016035164,0.0010392385,0.00087759894,0.0016540072,0.0013935625,0.00073342415,0.0024189437,0.0021769227,0.0015687549,0.001859802,0.0019587954,0.001616697,0.002361992,0.0016362523,0.0010275892,0.0020418232,0.0018462555,0.0009317189,0.0008403547,0.0013282775,0.0023781438,0.0012525899,0.0012072689,0.001694582,0.001051366,0.0024666649,0.0018981419,0.001360247,0.0010083873,0.0016992909,0.001140944,0.0014913491,0.0013423137,0.0025022125,0.0019742718,0.0014147698,0.002560858,0.0017559505,0.0019030105,0.0020265775,0.0009131116,0.0015048339,0.0013776143,0.0012751037,0.0014032881,0.0012713732,0.0011090493,0.0022174574,0.001658054,0.0009349426,0.0021356673,0.0011972386,0.0023480747,0.0012683991,0.002263573,0.0013874129,0.0020139203,0.0020616327,0.0023304708,0.0011217464,0.0010419382,0.001529576,0.0012680423,0.0016535032,0.0017796047,0.0011860217,0.0011099897,0.0018887044,0.000942404,0.00181103,0.0016844481,0.00181975,0.0016475447,0.0021254828,0.001432705,0.0021266271,0.001761413,0.0018921082,0.0015550866
BV_6,12,0.07608466666666670,0.0010049772,0.00070701184,0.0009880895,0.0006614913,0.00034557664,0.0014187479,0.0012267452,0.0012910354,0.0008426614,0.00076216296,0.0013570706,0.0012920911,0.0010260439,0.000537557,0.0008018205,0.0020906865,0.0009767751,0.0010755027,0.0012917847,0.0010887609,0.0006582521,0.0008702795,0.00048816044,0.00038964604,0.00090689625,0.0007218145,0.0003067311,0.001505503,0.0013083171,0.0008451809,0.0010604215,0.0011364367,0.00087990495,0.0014583172,0.0008939915,0.0004807999,0.0012010288,0.0010501349,0.00042201174,0.00036774378,0.00067709124,0.0014717751,0.0006261857,0.0005961348,0.000936779,0.0004957842,0.001545389,0.0010898386,0.000698914,0.00046891894,0.0009402742,0.00055291964,0.00079016644,0.0006866759,0.0015751754,0.0011486121,0.0007364651,0.0016248807,0.0009822681,0.0010934906,0.001189138,0.0004107987,0.00079964084,0.0007107817,0.00064122805,0.00072846503,0.0006386126,0.000532396,0.0013408846,0.00090986636,0.0004239683,0.0012753201,0.0005894929,0.0014471654,0.00063672493,0.0013779658,0.000717596,0.0011791632,0.0012167065,0.0014326025,0.00054044987,0.00048980577,0.00081714656,0.00063644745,0.00090664794,0.0010001003,0.0005820797,0.0005330047,0.0010825595,0.00042841345,0.0010236555,0.0009293247,0.0010301742,0.00090226246,0.0012671511,0.00074900023,0.0012681314,0.0009863204,0.001085082,0.0008354445
