Treatments,Time,BV_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
BV_6,24,1.4619716666666700,0.00010060696,4.9782848E-05,9.721539E-05,4.359345E-05,1.1902758E-05,0.00020039926,0.00014984698,0.00016596259,7.0741364E-05,5.7856338E-05,0.0001833083,0.00016619332,0.00010491726,2.8788007E-05,6.4034604E-05,0.00043529717,9.503855E-05,0.00011522066,0.0001661374,0.000118047814,4.317357E-05,7.5433076E-05,2.3751843E-05,1.5130812E-05,8.18723E-05,5.190936E-05,9.3820845E-06,0.00022552082,0.0001704706,7.113222E-05,0.000111930065,0.00012859212,7.713828E-05,0.00021154337,7.9577374E-05,2.3030136E-05,0.00014358472,0.00010976924,1.7755192E-05,1.3476622E-05,4.568349E-05,0.0002155665,3.908102E-05,3.5414952E-05,8.73932E-05,2.4505001E-05,0.00023772956,0.00011830182,4.8674978E-05,2.1915972E-05,8.805128E-05,3.0480234E-05,6.2215135E-05,4.6991205E-05,0.00024699327,0.00013145342,5.403076E-05,0.00026303052,9.607354E-05,0.00011906591,0.00014077764,1.6817276E-05,6.369635E-05,5.0326707E-05,4.0979714E-05,5.2849355E-05,4.061804E-05,2.8253213E-05,0.00017905541,8.241375E-05,1.7920378E-05,0.00016196677,3.4619246E-05,0.00020851563,4.0401686E-05,0.0001889548,5.1313724E-05,0.0001383906,0.00014741602,0.00020426435,2.9097298E-05,2.3906206E-05,6.649036E-05,4.035998E-05,8.187208E-05,9.965793E-05,3.3740722E-05,2.8323413E-05,0.000116703224,1.8286983E-05,0.00010437376,8.601146E-05,0.00010568894,8.106963E-05,0.00015986276,5.590168E-05,0.00016014483,9.685548E-05,0.00011720904,6.952829E-05
BV_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_7,3,0.03999466666666670,0.009182714,0.008051402,0.009197134,0.009701625,0.008495174,0.008346681,0.008968564,0.008888146,0.009116374,0.008243215,0.008603183,0.009233973,0.008946123,0.009312678,0.009660115,0.0069641164,0.009109983,0.009619573,0.00920231,0.009197855,0.008102442,0.009315271,0.009313797,0.00882991,0.008570245,0.008960817,0.0086444365,0.007859942,0.008293441,0.009563588,0.0090610925,0.008588319,0.009455741,0.009215957,0.008894268,0.009181214,0.008668055,0.008975449,0.009104973,0.009185162,0.008558208,0.009567893,0.007611313,0.009337458,0.008109118,0.009230611,0.009499453,0.007851595,0.008707574,0.00951935,0.009659741,0.009275612,0.009221693,0.0077891094,0.00952343,0.009528477,0.009163025,0.006510418,0.0081481,0.009266247,0.008614024,0.009695367,0.008624188,0.007536587,0.009671278,0.009517686,0.00845401,0.009287219,0.00899524,0.00845332,0.008838156,0.007903783,0.00971934,0.009155876,0.008736824,0.008676114,0.0090177385,0.00791217,0.007208183,0.009557229,0.0089724995,0.009259142,0.008900462,0.008558988,0.009501722,0.009760181,0.008944144,0.009232757,0.0098412065,0.009302007,0.009664368,0.009483112,0.008365035,0.009465363,0.009796504,0.008875637,0.008736725,0.008291264,0.009473381,0.009122017
BV_7,6,0.05414466666666670,0.008431019,0.006480185,0.008458283,0.009412059,0.0072144885,0.00696466,0.008042607,0.007899032,0.008310096,0.0067931963,0.007399224,0.008526222,0.008002331,0.008672331,0.009331706,0.0048448476,0.0082985405,0.009253466,0.0084677655,0.00845892,0.0065636667,0.008677048,0.0086742,0.0077958605,0.0073434208,0.008029006,0.007471773,0.006175071,0.006876503,0.00914603,0.008210077,0.0073728855,0.00894088,0.008492839,0.007910145,0.008429015,0.0075116274,0.008054908,0.008289356,0.008435869,0.007321295,0.009154278,0.0057910504,0.008718284,0.006572713,0.008519808,0.009023617,0.006163129,0.007580596,0.009061528,0.009330949,0.008603272,0.008503598,0.0060642953,0.00906933,0.009078976,0.008395523,0.0042344383,0.0066365628,0.008585882,0.0074187345,0.0093999,0.007435383,0.005675687,0.009353272,0.009058544,0.007145105,0.0086248955,0.008090809,0.007144289,0.0078104665,0.0062447544,0.009446483,0.008382118,0.0076321536,0.0075262147,0.008131205,0.0062571648,0.0051921606,0.009133886,0.008049995,0.008572771,0.007920526,0.007323972,0.009027902,0.0095260395,0.007999164,0.008523514,0.00968491,0.008652132,0.00933987,0.008992725,0.0069941087,0.008959067,0.009597102,0.007876102,0.0076319403,0.0068729506,0.008974071,0.008320315
BV_7,9,0.143813,0.0077398485,0.005214106,0.0077784015,0.009131053,0.006125235,0.0058100484,0.00721152,0.007019298,0.007574515,0.005596965,0.0063621043,0.007872374,0.0071573122,0.0080757765,0.009014368,0.0033680522,0.0075588548,0.008901119,0.007791433,0.007778384,0.005316296,0.008082193,0.008078108,0.006882234,0.0062911226,0.007193591,0.0064575514,0.0048496383,0.0057005184,0.008746521,0.0074387593,0.0063272277,0.008453852,0.007825984,0.007034385,0.0077380505,0.0065080933,0.00722801,0.0075462307,0.00774698,0.0062610065,0.008758369,0.0044048694,0.008139709,0.0053254,0.0078632105,0.0085713,0.0048367567,0.0065982793,0.00862548,0.009013246,0.007979289,0.0078411205,0.0047197915,0.008636663,0.008650511,0.007691791,0.002752383,0.005403721,0.0079550855,0.006388258,0.009113356,0.0064087673,0.004271786,0.0090456335,0.008621461,0.0060375044,0.008009498,0.007276808,0.0060368385,0.0069016353,0.0049325326,0.009181207,0.0076730023,0.0066663455,0.0065277372,0.007331213,0.004946417,0.0037381053,0.008729128,0.0072218757,0.007936948,0.007047437,0.006265973,0.00857737,0.009297466,0.007153553,0.007868009,0.009531075,0.008047129,0.009026129,0.008527494,0.005845552,0.008479624,0.009401698,0.0069878763,0.006666023,0.0056962008,0.00850066,0.0075884047
BV_7,12,0.41870133333333300,0.0071044946,0.0041944254,0.007152861,0.008858351,0.005199225,0.0048458395,0.006465733,0.006237001,0.006903544,0.004610514,0.005469103,0.007268387,0.00640091,0.0075200605,0.008707753,0.0023402285,0.0068846764,0.008562062,0.0071687778,0.007151795,0.0043054386,0.0075278333,0.0075226235,0.0060751503,0.0053887824,0.0064447154,0.0055805193,0.0038076346,0.0047248723,0.008364302,0.006739731,0.0054282118,0.007993177,0.0072110994,0.006255182,0.0071034096,0.0056375614,0.006485387,0.006869259,0.0071137506,0.005352648,0.00837943,0.0033497603,0.007599137,0.0043134717,0.0072567756,0.008141375,0.0037952133,0.005742336,0.008210189,0.008706263,0.0074002477,0.007230008,0.0036723753,0.008224442,0.0082420865,0.007046647,0.0017883042,0.004398764,0.00737031,0.005500148,0.008835443,0.005522627,0.0032137567,0.008748032,0.008205391,0.0051006107,0.007437759,0.0065443004,0.0051002437,0.006098059,0.003895177,0.008923314,0.0070232623,0.0058221426,0.0056609814,0.006609442,0.0039090426,0.002690279,0.008342158,0.006478589,0.0073480043,0.0062697805,0.0053599346,0.0081490185,0.009074306,0.0063969595,0.0072622932,0.009379661,0.00748398,0.008722811,0.008086153,0.0048840004,0.008025641,0.00921023,0.0061988374,0.0058217226,0.0047201943,0.008051883,0.0069203316
BV_7,24,3.9342143333333300,0.0050384286,0.0017537716,0.005112934,0.007845914,0.0026944766,0.002341519,0.004175022,0.0038850612,0.0047607343,0.0021201856,0.0029815896,0.0052797887,0.0040912954,0.0056528696,0.007581522,0.0005440567,0.0047354857,0.0073290765,0.005135408,0.005106184,0.0018504501,0.0056635295,0.0056549436,0.0036861284,0.0028977334,0.004149686,0.003110436,0.0014443306,0.0022273706,0.0069940854,0.004540627,0.002933886,0.006386944,0.005195735,0.0039089997,0.0050424226,0.003169748,0.0042001386,0.004713881,0.0050541745,0.002853062,0.0070195296,0.0011188621,0.0057701487,0.0018528015,0.0052612647,0.006624729,0.0014372008,0.003289972,0.0067379437,0.0075786174,0.005472855,0.005224543,0.0013437254,0.0067616864,0.006791087,0.0049612247,0.0003180901,0.0019280533,0.005428522,0.0030191184,0.007805235,0.003040095,0.0010268644,0.0076517323,0.0067318804,0.0025946607,0.005529131,0.0042788633,0.0025954938,0.0037142045,0.0015126192,0.0079615945,0.0049261414,0.0033845976,0.0031987354,0.004363676,0.0015217074,0.0007203121,0.0069572525,0.00419368,0.0053961975,0.0039235717,0.002866252,0.0066369018,0.008233434,0.004088568,0.0052672755,0.008797477,0.00559592,0.0076071452,0.00653642,0.0023744297,0.0064386786,0.008482139,0.0038336967,0.0033839426,0.0022232477,0.0064789983,0.0047834315
BV_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BV_8,3,0.017895666666666700,0.018306257,0.017959014,0.01821528,0.018331533,0.018602438,0.017821487,0.018572768,0.017999234,0.018209985,0.0184423,0.01810292,0.018585699,0.018648146,0.018192396,0.018332433,0.018347234,0.018260106,0.018735664,0.018357662,0.018381529,0.01817473,0.01817874,0.018237017,0.018108085,0.01829572,0.018299688,0.019110177,0.018493555,0.018299656,0.0184095,0.018580956,0.018175164,0.017956585,0.018445091,0.018805228,0.01800026,0.01838436,0.01851119,0.018353155,0.018083448,0.018089278,0.01847786,0.018350815,0.018178353,0.018085606,0.018468933,0.018052312,0.018319355,0.018087793,0.018449545,0.018397614,0.01828223,0.018210836,0.018652212,0.018677095,0.018262267,0.018520473,0.018221939,0.018754253,0.01832845,0.018363394,0.018019194,0.017907308,0.018335557,0.018232059,0.018177243,0.018280217,0.018111277,0.018043619,0.018402487,0.018134013,0.017879564,0.018046245,0.01873745,0.018152446,0.018003397,0.018275311,0.01865598,0.018100148,0.018670965,0.01796348,0.018423785,0.018112203,0.01809709,0.018250627,0.018582607,0.018162899,0.018921057,0.018364782,0.01870655,0.017936835,0.01833747,0.017922862,0.018243875,0.018244447,0.018311761,0.018322125,0.018494193,0.018262552,0.017971661
BV_8,6,0.032045333333333300,0.03346807,0.03221791,0.03313393,0.033565205,0.03455541,0.031722557,0.03444859,0.032355923,0.03311903,0.033966,0.032734774,0.034498684,0.03472504,0.03306176,0.033566948,0.03361557,0.03329827,0.03504711,0.03365517,0.033746466,0.032993056,0.033008583,0.03321097,0.03275136,0.033433642,0.033443447,0.036461543,0.03415214,0.033442862,0.033843704,0.034474842,0.03299335,0.032199588,0.033979814,0.035307884,0.03235763,0.033753414,0.0342208,0.03363799,0.0326601,0.03268107,0.03409529,0.033628467,0.03300753,0.03266957,0.034062006,0.03255144,0.03351825,0.0326784,0.033993308,0.03380409,0.03338331,0.033126883,0.03474103,0.03483369,0.033302665,0.0342513,0.033163857,0.035117008,0.03354747,0.033678398,0.032429572,0.03203051,0.0335739,0.03320041,0.032998912,0.033373263,0.032763064,0.032518018,0.033820305,0.03284313,0.031934455,0.03252779,0.03506513,0.03290745,0.032377522,0.033353716,0.03475744,0.032723587,0.034808684,0.032228302,0.033898022,0.032764047,0.032705974,0.033260573,0.034487434,0.03294796,0.03574373,0.033678245,0.034945734,0.032134153,0.03358475,0.03208212,0.03324518,0.03324914,0.0334892,0.03352846,0.034156114,0.033311218,0.032261945
BV_8,9,0.036497,0.06104192,0.057686765,0.06012106,0.061327,0.06401832,0.05634697,0.06373719,0.058030896,0.060098346,0.062402245,0.05907291,0.06388483,0.06448892,0.059970714,0.06132517,0.061434902,0.060572673,0.065366924,0.061549377,0.061814927,0.05976508,0.059811402,0.060321927,0.059109714,0.06096514,0.060971722,0.06935631,0.0629027,0.06096833,0.062058486,0.063791804,0.059760746,0.057598256,0.062454965,0.06609744,0.058027938,0.061819736,0.063108414,0.061499294,0.05885371,0.05891022,0.062750466,0.061469175,0.059809867,0.05888609,0.06265747,0.058575567,0.061188266,0.058913685,0.06247967,0.06196724,0.060822792,0.060139544,0.06453689,0.06479429,0.06056994,0.063174844,0.060226128,0.06556374,0.061251156,0.061622012,0.058236986,0.05717587,0.061325267,0.060324308,0.05976696,0.060783997,0.059141792,0.058476906,0.062004708,0.059349302,0.056931477,0.05850416,0.06546689,0.05951326,0.05811628,0.060724042,0.06459292,0.059038106,0.06471524,0.05769199,0.06221536,0.05913463,0.05896335,0.06045681,0.06385488,0.059633598,0.06732181,0.061599255,0.0651169,0.05744452,0.061371263,0.057297237,0.06045302,0.060472105,0.061103627,0.06121662,0.06292014,0.0606249,0.05779935
BV_8,12,0.037451,0.11085399,0.10293517,0.10859929,0.11161581,0.118022166,0.09971136,0.11739247,0.10365564,0.10861108,0.11412875,0.10621462,0.11778745,0.11917309,0.10840884,0.11158639,0.11176363,0.10970077,0.121255,0.11206311,0.11276394,0.10784443,0.10797067,0.10904927,0.10627263,0.110733256,0.110673636,0.1311733,0.1152985,0.110658385,0.113265865,0.117455594,0.10781451,0.102582335,0.11431329,0.12306016,0.10362119,0.112721585,0.11586183,0.11193098,0.105626754,0.10576071,0.114945255,0.111842565,0.10797217,0.105728894,0.114714496,0.10501885,0.111241914,0.1058088,0.11432567,0.11311103,0.11037149,0.10878389,0.11930419,0.11993448,0.10963917,0.115955524,0.10894008,0.12174562,0.111329675,0.11227306,0.10417467,0.10169263,0.11151559,0.10917115,0.10779655,0.110235386,0.106351025,0.10475207,0.113175206,0.10681353,0.10115941,0.10482024,0.121695675,0.10716775,0.10395845,0.11006603,0.11948217,0.10611447,0.11970427,0.102865115,0.113675356,0.10629731,0.105836086,0.10937291,0.117719114,0.10749496,0.1260913,0.11213342,0.12076816,0.10229656,0.11168807,0.101918936,0.10950642,0.109583355,0.111017555,0.11131201,0.115365945,0.10988981,0.10318168
BV_8,24,0.038882,1.0298314,0.9225264,0.9843473,1.0591741,1.1354288,0.858701,1.137926,0.9142518,0.99869627,1.0799017,0.97260845,1.1525103,1.1536692,1.0190156,1.053082,1.0359805,1.0056169,1.1712763,1.0465668,1.0709031,0.9936184,0.99832124,0.9847076,0.9670452,1.0419137,1.0249913,1.3398374,1.0890282,1.0224147,1.0594841,1.1224552,0.98827845,0.8876251,1.096422,1.201652,0.9082215,1.0580915,1.1130176,1.0418353,0.9487121,0.9505485,1.0870625,1.0364444,1.000224,0.95574725,1.0823252,0.9504272,1.0435454,0.9601205,1.0856628,1.0717887,1.0321933,1.0183684,1.1583694,1.1691567,0.99293107,1.098812,1.0094819,1.180485,1.031343,1.0576992,0.92902493,0.8955871,1.0356784,1.0115385,0.9812818,1.020283,0.9686664,0.9393089,1.0670552,0.9687997,0.89617914,0.9411036,1.2250193,0.9664258,0.9399277,1.012052,1.1716968,0.9671926,1.1570858,0.9045902,1.07277,0.9594633,0.94113505,0.989852,1.1529169,0.9800224,1.2527286,1.0357531,1.1931219,0.8988142,1.0521429,0.8866951,1.0234286,1.0314904,1.0362144,1.0457487,1.0960808,1.0229117,0.92200255